Year,Country,Code,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)"
2016,Northern Ireland,,17.01136309,0.303194372,15.28345157,1.6328483759999999
2015,Northern Mariana Islands,MNP,39.30210764,11.72975322,23.92477102,4.380546787
2016,Northern Mariana Islands,MNP,38.120121999999995,11.42482352,23.05091501,4.352340958
2015,Norway,NOR,11.47498482,0.202602953,9.710341288,1.746984254
2016,Norway,NOR,10.85509488,0.19010807600000001,9.124696495,1.7126484359999998
2015,Oceania,,203.3002376,173.5035039,29.46864181,0.497234591
2016,Oceania,,198.8406135,170.0426831,28.39990972,0.603468031
2015,Oman,OMN,57.94529968,0.714560437,56.37767951,1.177081661
2016,Oman,OMN,54.40342404,0.591435904,53.02618267,1.081609749
2015,Pakistan,PAK,127.82478950000001,61.48449998,59.92902518,10.31912836
2016,Pakistan,PAK,125.483302,58.86971372,60.12764838,10.3447382
2015,Palestine,PSE,55.24488397,0.7660689690000001,52.79741152,2.255579415
2016,Palestine,PSE,53.12603928,0.670997659,50.81559318,2.190518619
2015,Panama,PAN,22.877899199999998,6.876841478999999,15.43532553,0.6911944609999999
2016,Panama,PAN,21.73871451,6.520393949,14.62708173,0.714593977
2015,Papua New Guinea,PNG,254.73108349999998,227.0822084,27.27417062,0.601455659
2016,Papua New Guinea,PNG,249.2745489,222.43021159999998,26.35877965,0.772117
2015,Paraguay,PRY,45.03825019,28.98578056,15.05443271,1.313442824
2016,Paraguay,PRY,42.81282279,27.73894629,14.06605292,1.307886388
2015,Peru,PER,32.1080038,13.12712642,18.59768512,0.521950337
2016,Peru,PER,31.01299296,12.33131155,18.30604465,0.509446109
2015,Philippines,PHL,114.2889761,75.61110021,37.57018163,1.5671913880000001
2016,Philippines,PHL,109.8373196,72.880674,35.81542581,1.599373971
2015,Poland,POL,37.17823433,3.6142417719999997,32.08666134,1.9038016169999998
2016,Poland,POL,35.09465572,3.506726337,30.14907153,1.837329805
2015,Portugal,PRT,16.12880385,0.689083772,13.450859900000001,2.2833291780000002
2016,Portugal,PRT,15.18082789,0.648668634,12.50344425,2.300896519
2015,Puerto Rico,PRI,16.70578191,0.12369496,15.61205759,1.111681554
2016,Puerto Rico,PRI,16.51557888,0.126965362,15.36561995,1.162367093
2015,Qatar,QAT,64.72292148,0.004741255,63.20900339,2.358761101
2016,Qatar,QAT,62.04042745,0.004404075,60.54487719,2.305776727
2015,Romania,ROU,42.25767187,10.27434432,30.65392844,1.662336073
2016,Romania,ROU,40.79870078,10.01668288,29.44989865,1.6542309780000002
2015,Russia,RUS,46.08005072,0.193330552,44.63857627,1.5211358209999999
2016,Russia,RUS,43.76386603,0.179588478,42.35551971,1.489046499
2015,Rwanda,RWA,100.5594939,77.92314727,21.05214908,2.8386393919999997
2016,Rwanda,RWA,98.49676311,75.78733473,21.14293115,2.7939985089999997
2015,Saint Lucia,LCA,39.72653762,5.773103909,33.95343371,0.0
2016,Saint Lucia,LCA,38.87219808,5.581223102,33.29097498,0.0
2015,Saint Vincent and the Grenadines,VCT,50.36007842,11.60997424,38.70968453,0.052829869
2016,Saint Vincent and the Grenadines,VCT,48.96374408,11.07322141,37.84788337,0.055426208
2015,Samoa,WSM,80.41272166,63.670962100000004,16.740490400000002,0.001773004
2016,Samoa,WSM,78.03129126,62.1959905,15.83405972,0.0017223020000000002
2015,Sao Tome and Principe,STP,112.71338020000002,78.89031518,31.55018123,3.50197914
2016,Sao Tome and Principe,STP,111.8873245,76.72123079,32.75227488,3.6946622110000003
2015,Saudi Arabia,SAU,69.34716062,0.233899178,67.27417989,2.84331389
2016,Saudi Arabia,SAU,65.16091329999999,0.201587918,63.12547377,2.7763069369999998
2015,Scotland,,17.47829991,0.717759919,15.04748405,1.932571109
2016,Scotland,,16.65189759,0.6812285109999999,14.21278698,1.9664398840000001
2015,Senegal,SEN,108.65705,82.55424998,25.06084047,1.8204185869999998
2016,Senegal,SEN,107.0737027,83.43234416,22.56392156,1.8674436
